manifest_flat,section_slug,item_index,lab_name,game_research_id,mapped,import_from_research_level
0,main-research,0,Game Speed,30,yes,yes
1,main-research,1,Starting Cash,-1,no,no
2,main-research,2,Workshop Attack Discount,32,yes,yes
3,main-research,3,Workshop Defense Discount,33,yes,yes
4,main-research,4,Workshop Utility Discount,34,yes,yes
5,main-research,5,Labs Coin Discount,35,yes,yes
6,main-research,6,Labs Speed,36,yes,yes
7,main-research,7,Buy Multiplier,37,yes,yes
8,main-research,8,More Round Stats,26,yes,yes
9,main-research,9,Target Priority,38,yes,yes
10,main-research,10,Card Presets,39,yes,yes
11,main-research,11,Workshop Respec,40,yes,yes
12,main-research,12,Reroll Daily Mission,41,yes,yes
13,main-research,13,Workshop Enhancements,62,yes,yes
14,main-research,14,Enhancement Attack - Coin Discount,-1,no,no
15,main-research,15,Enhancement Defense - Coin Discount,-1,no,no
16,main-research,16,Enhancement Utility - Coin Discount,-1,no,no
17,main-research,17,Dissonant Echo - Attack,-1,no,no
18,main-research,18,Dissonant Echo - Defense,-1,no,no
19,main-research,19,Dissonant Echo - Utility,-1,no,no
20,main-research,20,Dissonant Echo - Ultimate Weapons,-1,no,no
21,attack-research,0,Damage,0,yes,yes
22,attack-research,1,Attack Speed,1,yes,yes
23,attack-research,2,Critical Factor,2,yes,yes
24,attack-research,3,Range,-1,no,no
25,attack-research,4,Damage / Meter,4,yes,yes
26,attack-research,5,Super Crit Chance,-1,no,no
27,attack-research,6,Super Crit Multi,-1,no,no
28,attack-research,7,Max Rend Armor Multiplier,139,yes,yes
29,attack-research,8,Light Speed Shots,72,yes,yes
30,defense-research,0,Health,10,yes,yes
31,defense-research,1,Health Regen,11,yes,yes
32,defense-research,2,Defense Absolute,12,yes,yes
33,defense-research,3,Defense %,13,yes,yes
34,defense-research,4,Orbs Speed,14,yes,yes
35,defense-research,5,Land Mine Damage,-1,no,no
36,defense-research,6,Land Mine Decay,-1,no,no
37,defense-research,7,Shockwave Size,-1,no,no
38,defense-research,8,Orb Boss Hit,18,yes,yes
39,defense-research,9,Wall Health,126,yes,yes
40,defense-research,10,Wall Rebuild,127,yes,yes
41,defense-research,11,Wall Regen,128,yes,yes
42,defense-research,12,Wall Thorns,129,yes,yes
43,defense-research,13,Wall Invincibility,-1,no,no
44,defense-research,14,Wall Fortification,144,yes,yes
45,defense-research,15,Garlic Thorns,61,yes,yes
46,utility-research,0,Cash Bonus,20,yes,yes
47,utility-research,1,Cash / Wave,21,yes,yes
48,utility-research,2,Coins / Kill Bonus,22,yes,yes
49,utility-research,3,Coins / Wave,23,yes,yes
50,utility-research,4,Interest,-1,no,no
51,utility-research,5,Max Interest,140,yes,yes
