category,save_array,save_index,towersmith_field,display_name,import_mapped,notes
workshop_attack,upgradeWorkshopLevel,0,damageLevel,Damage,yes,
workshop_attack,upgradeWorkshopLevel,1,attackSpeedLevel,Attack Speed,yes,
workshop_attack,upgradeWorkshopLevel,2,critChanceLevel,Crit Chance,yes,
workshop_attack,upgradeWorkshopLevel,3,critFactorLevel,Crit Factor,yes,
workshop_attack,upgradeWorkshopLevel,4,attackRangeLevel,Range,yes,
workshop_attack,upgradeWorkshopLevel,5,damagePerMeterLevel,Damage/Meter,yes,
workshop_attack,upgradeWorkshopLevel,6,multishotChanceLevel,Multishot Chance,yes,
workshop_attack,upgradeWorkshopLevel,7,multishotTargetsLevel,Multishot Targets,yes,
workshop_attack,upgradeWorkshopLevel,8,rapidFireChanceLevel,Rapid Fire Chance,yes,
workshop_attack,upgradeWorkshopLevel,9,rapidFireDurationLevel,Rapid Fire Duration,yes,
workshop_attack,upgradeWorkshopLevel,10,bounceShotChanceLevel,Bounce Shot Chance,yes,
workshop_attack,upgradeWorkshopLevel,11,bounceShotTargetsLevel,Bounce Shot Targets,yes,
workshop_attack,upgradeWorkshopLevel,12,bounceShotRangeLevel,Bounce Shot Range,yes,
workshop_attack,upgradeWorkshopLevel,13,superCritChanceLevel,Super Crit Chance,yes,
workshop_attack,upgradeWorkshopLevel,14,superCritMultLevel,Super Crit Mult,yes,
workshop_attack,upgradeWorkshopLevel,15,rendArmorChanceLevel,Rend Armor Chance,yes,
workshop_attack,upgradeWorkshopLevel,16,rendArmorMultLevel,Rend Armor Mult,yes,
workshop_attack,upgradeWorkshopLevel,17,,"(save slot 17, not mapped)",no,index beyond TowerSmith key list
workshop_attack,upgradeWorkshopLevel,18,,"(save slot 18, not mapped)",no,index beyond TowerSmith key list
workshop_attack,upgradeWorkshopLevel,19,,"(save slot 19, not mapped)",no,index beyond TowerSmith key list
workshop_attack,upgradeWorkshopLevel,20,,"(save slot 20, not mapped)",no,index beyond TowerSmith key list
workshop_defense,upgradeWorkshopDefenseLevel,0,healthLevel,Health,yes,
workshop_defense,upgradeWorkshopDefenseLevel,1,healthRegenLevel,Health Regen,yes,
workshop_defense,upgradeWorkshopDefenseLevel,2,defensePercentLevel,Defense %,yes,
workshop_defense,upgradeWorkshopDefenseLevel,3,defenseAbsoluteLevel,Defense Absolute,yes,
workshop_defense,upgradeWorkshopDefenseLevel,4,thornDamageLevel,Thorn Damage,yes,
workshop_defense,upgradeWorkshopDefenseLevel,5,lifestealLevel,Lifesteal,yes,
workshop_defense,upgradeWorkshopDefenseLevel,6,knockbackChanceLevel,Knockback Chance,yes,
workshop_defense,upgradeWorkshopDefenseLevel,7,knockbackForceLevel,Knockback Force,yes,
workshop_defense,upgradeWorkshopDefenseLevel,8,orbSpeedLevel,Orb Speed,yes,
workshop_defense,upgradeWorkshopDefenseLevel,9,orbsLevel,Orbs,yes,
workshop_defense,upgradeWorkshopDefenseLevel,10,shockwaveSizeLevel,Shockwave Size,yes,
workshop_defense,upgradeWorkshopDefenseLevel,11,shockwaveFrequencyLevel,Shockwave Frequency,yes,
workshop_defense,upgradeWorkshopDefenseLevel,12,landMineChanceLevel,Land Mine Chance,yes,
workshop_defense,upgradeWorkshopDefenseLevel,13,landMineDamageLevel,Land Mine Damage,yes,
